Reference,Externí číslo,Odběratel-Název,Sklad,Zdroj-číslo,Název Položky,Počet,Chtěl,Jednotková cena v měně,Cena základ v měně,Expire Date,Doznačení,Rozdíl v ceně,DU balení
,,Penta Lebanon s.a.r.l.,AC20,E9015,Hair color Very Light Blond ++ 9/00,10,124,1.14,141.69,"Datum Expirace: 28.06.2021, Měsíců: 1,2, ",," Rozdíl ceny Helios: 141.69 vs excel objednávky 101.68; ",
,,Penta Lebanon s.a.r.l.,AC20,E9016,Hair color Medium Brown 4/0,10,330,0.82,270.60,"Datum Expirace: 15.10.2022, Měsíců: 16,8, ",,,
,,Penta Lebanon s.a.r.l.,AC20,E9017,Hair color Black 1/0,10,330,0.82,270.60,,,,
,,Penta Lebanon s.a.r.l.,AC20,E9018,Hair color Dark Brown 3/0,0,198,0.82,162.36,,,,
,,Penta Lebanon s.a.r.l.,AC20,E9019,Hair color Dark Blond Ash 6/2,10,338,0.82,277.16,,,,
,,Penta Lebanon s.a.r.l.,AC20,E9020,Hair color Medium Blond Ash 7/2,10,264,0.82,216.48,"Datum Expirace: 15.10.2022, Měsíců: 16,8, Datum Expirace: 06.11.2023, Měsíců: 29,4, ",,,
,,Penta Lebanon s.a.r.l.,AC20,E9021,Hair color Light Blond Ash 8/2,10,94,0.82,77.08,"Datum Expirace: 31.03.2022, Měsíců: 10,3, ",,,
,,Penta Lebanon s.a.r.l.,AC20,E9023,Hair color Dark Pearl Blond 8/1,10,198,0.82,162.36,"Datum Expirace: 29.06.2021, Měsíců: 1,2, Datum Expirace: 05.09.2021, Měsíců: 3,5, ",,,
,,Penta Lebanon s.a.r.l.,AC20,E9026,Hair color Platinum Blond Ash 12/20,10,66,0.82,54.12,"Datum Expirace: 31.03.2022, Měsíců: 10,3, ",,,
,,Penta Lebanon s.a.r.l.,AC20,E9027,Hair color Platinum Blond Pearl 12/11,10,66,0.82,54.12,"Datum Expirace: 23.11.2021, Měsíců: 6,1, ",,,
,,Penta Lebanon s.a.r.l.,AC20,E9029,Hair color Chocolate Brown 6/7,10,298,0.82,244.36,"Datum Expirace: 29.06.2021, Měsíců: 1,2, Datum Expirace: 06.11.2023, Měsíců: 29,4, ",,,
,,Penta Lebanon s.a.r.l.,AC20,E9030,Hair color Hazel 7/7,10,48,0.82,54.12,"Datum Expirace: 15.05.2021, Měsíců: -0,2, ",," Rozdíl ceny Helios: 54.12 vs excel objednávky 39.36; ","Nedodržené DU, chtěl 48"
,,Penta Lebanon s.a.r.l.,AC20,E9031,Hair color Sand 8/7,10,132,0.82,108.24,"Datum Expirace: 28.06.2021, Měsíců: 1,2, ",,,
,,Penta Lebanon s.a.r.l.,AC20,E9038,Hair color Dark Mahagony 5/6,10,66,0.82,54.12,"Datum Expirace: 03.05.2022, Měsíců: 11,3, ",,,
,,Penta Lebanon s.a.r.l.,AC20,E9039,Hair color Mahagony Red 4/65,0,66,0.82,54.12,,,,
,,Penta Lebanon s.a.r.l.,AC20,E9042,Hair color Beaujolais 4/8,,,0.82,54.12,"Datum Expirace: 03.05.2022, Měsíců: 11,3, ",,,
,,Penta Lebanon s.a.r.l.,AC20,E9046,Hair color Jasper 8/4,10,132,0.82,108.24,"Datum Expirace: 29.06.2021, Měsíců: 1,2, ",,,
,,Penta Lebanon s.a.r.l.,AC20,E9067,Hair color Pearl Blond Brown 6/1,0,132,0.82,108.24,,,,
,,Penta Lebanon s.a.r.l.,AC20,E9068,Hair color Medium Pearl Blond 7/1,0,132,0.82,108.24,,,,
,,Penta Lebanon s.a.r.l.,AC20,E9070,Hair color Dark Blond Brown 6/71,10,132,0.82,108.24,,,,
,,Penta Lebanon s.a.r.l.,AC20,E9082,Hair color Blueberry Black 1/9,10,66,0.82,54.12,"Datum Expirace: 30.05.2022, Měsíců: 12,2, ",,,
,,Penta Lebanon s.a.r.l.,AC20,E9083,Hair color Dark Hazel 7/77,10,66,0.82,54.12,"Datum Expirace: 30.05.2022, Měsíců: 12,2, ",,,
